asm_path,asm_name,n_macro,n_update,n_forall,n_branch,n_rule,approach,status,exec_time_ms,n_scenarios,n_step,n_set,n_check,macro_coverage,update_rule_coverage,forall_rule_coverage,branch_coverage,rule_coverage,n_failing_scenarios,n_val_error_scenarios,casemutator_score,chooserulemutator_score,condnegator_score,condremover_score,forallmutator_score,partoseqmutator_score,seqtoparmutator_score,ruleremover_score
../../../asm_examples/examples/parking.asm,parking,2,2,1,5,9,random,OK,22.0,10,100,100,250,1.0,1.0,0.6666667,0.7,1.0,0,0,NaN,1.0,1.0,0.5,1.0,1.0,NaN,1.0
../../../asm_examples/RTPatternLibrary/Application/RobotController.asm,RobotController,3,1,0,2,42,random,NO_VALID_SCENARIOS,273.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/hemodialysisDevice/SCP2017/HemodialysisRef2.asm,HemodialysisRef2,143,128,1,207,578,random,OK,72.0,10,100,167,1063,0.26573426,0.0703125,0.33333334,0.14251208,0.1851211,0,0,NaN,NaN,0.1407767,0.108490564,0.6666667,0.029850746,NaN,0.09391304
../../../asm_examples/examples_for_nuXmv/FunctionInt2.asm,FunctionInt2,1,2,0,1,3,random,OK,10.0,10,100,100,100,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,1.0,1.0,NaN,NaN,NaN,1.0
../../../asm_examples/PHD/phd_master_flat2_v1.asm,phd_master_flat2_v1,4,52,0,3,85,random,OK,5.0,10,100,100,205,0.75,0.34615386,NaN,0.8333333,0.5294118,0,0,0.5,NaN,1.0,1.0,NaN,0.0,NaN,0.4318182
../../../asm_examples/PillBox/Level1/pillbox_1_elia.asm,pillbox_1_elia,7,21,0,10,45,random,OK,23.0,10,100,100,550,0.14285715,0.14285715,NaN,0.5,0.26666668,0,0,NaN,NaN,0.8,0.7,NaN,0.16666667,NaN,0.1590909
../../../asm_examples/examples/GilbreathCardTrick/workingButNotElegant/GilbreathCardTrickWithAuxFunctionSimple.asm,GilbreathCardTrickWithAuxFunctionSimple,4,15,1,8,34,random,NO_VALID_SCENARIOS,3297.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/agents/populationAgent_raff1_twoPersons.asm,populationAgent_raff1_twoPersons,4,7,1,8,20,random,NO_VALID_SCENARIOS,1318.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/simple_example/QuickSort.asm,QuickSort,1,1,0,0,1,random,NO_VALID_SCENARIOS,158.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/ABZ2020/CarSystemModule/CarSystem002/CarSystem002main.asm,CarSystem002main,2,2,0,0,10,random,MUTATION_ERR,251.0,10,100,845,2117,1.0,1.0,NaN,NaN,1.0,0,0,null,null,null,NaN,NaN,null,null,null
../../../asm_examples/stereoacuity/certifierGround.asm,certifierGround,12,12,0,7,36,random,OK,62.0,10,100,18,550,1.0,1.0,NaN,0.9285714,0.9722222,0,0,NaN,NaN,1.0,0.9285714,NaN,0.0,NaN,0.9722222
../../../asm_examples/examples/philosophers/philosophers3.asm,philosophers3,4,6,0,5,17,random,NO_VALID_SCENARIOS,35.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/traffic_light/oneWayTrafficLightUsingEnumFlat.asm,oneWayTrafficLightUsingEnumFlat,5,12,0,8,29,random,OK,9.0,10,100,100,194,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,1.0,1.0,NaN,0.0,NaN,1.0
../../../asm_examples/examples/simple_example/euclideMCD.asm,euclideMCD,1,2,0,2,4,random,OK,3.0,10,100,0,220,1.0,1.0,NaN,0.75,1.0,0,0,NaN,NaN,1.0,0.6666667,NaN,NaN,NaN,1.0
../../../asm_examples/examples/hemodialysisDevice/ABZ2016/Hemodialysis_ref2_forMC.asm,Hemodialysis_ref2_forMC,89,95,0,108,324,random,OK,9.0,10,100,47,295,0.16853933,0.10526316,NaN,0.18518518,0.16666667,0,0,NaN,NaN,0.14814815,0.117117114,NaN,0.06451613,NaN,0.13836478
../../../asm_examples/examples/agents/populationAgent_raff1_fourPersons.asm,populationAgent_raff1_fourPersons,4,7,1,8,20,random,NO_VALID_SCENARIOS,2835.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/simple_example/population_raff1_fourPersons.asm,population_raff1_fourPersons,4,7,1,8,21,random,NO_VALID_SCENARIOS,2648.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/swapBoard.asm,swapBoard,3,4,1,3,11,random,OK,15.0,10,100,100,428,1.0,1.0,0.33333334,0.6666667,1.0,0,0,NaN,1.0,1.0,1.0,0.6666667,1.0,NaN,1.0
../../../asm_examples/examples/simple_example/IncosistentUpdate.asm,IncosistentUpdate,1,2,0,2,5,random,NO_VALID_SCENARIOS,1.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/agents/SeqSelf.asm,SeqSelf,4,2,0,0,5,random,NO_VALID_SCENARIOS,6.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/systemc/clock/main.asm,main,1,0,0,0,1,random,NO_VALID_SCENARIOS,11.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/ABZ2020/CarSystemModule/CarSystem003/CarSystem003main.asm,CarSystem003main,2,2,0,0,11,random,MUTATION_ERR,274.0,10,100,942,2520,1.0,1.0,NaN,NaN,1.0,0,0,null,null,null,NaN,NaN,null,null,null
../../../asm_examples/examples/petriNets/petriNetNoEdgeWeightNoPlaceCapacity_seq.asm,petriNetNoEdgeWeightNoPlaceCapacity_seq,2,2,2,3,7,random,MUTATION_ERR,71.0,10,100,0,390,1.0,1.0,0.5,0.5,1.0,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/ermts_etcs/scenarios/ertms_hl3_scenario3.asm,ertms_hl3_scenario3,30,126,34,108,321,random,NO_VALID_SCENARIOS,3156.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/Yahalom/FlawedYahalom.asm,FlawedYahalom,11,29,2,20,97,random,NO_VALID_SCENARIOS,19.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/simple_example/population.asm,population,3,7,1,8,20,random,NO_VALID_SCENARIOS,1543.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/fsmsemantics/meta_hooking/myFSM.asm,myFSM,3,2,0,1,7,random,NO_VALID_SCENARIOS,53.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/ABZ2020/CarSystemModule/CarSystem008/CarSystem008main.asm,CarSystem008main,2,4,0,0,19,random,NO_VALID_SCENARIOS,55.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/testRanges.asm,testRanges,1,0,0,0,1,random,OK,0.0,10,100,0,0,1.0,NaN,NaN,NaN,1.0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
